,County,State,2020 Base Population,2020 Pop Estimate,2021 Pop Estimate,2022 Pop Estimate,2023 Pop Estimate,State Code,County Code
2555,Callahan County,Texas,"13,705","13,747","14,098","14,247","14,374",48,59
2556,Cameron County,Texas,"421,020","421,480","422,636","424,911","426,710",48,61
2557,Camp County,Texas,"12,464","12,428","12,602","12,721","13,000",48,63
2558,Carson County,Texas,"5,799","5,792","5,714","5,816","5,878",48,65
2559,Cass County,Texas,"28,448","28,442","28,573","28,538","28,659",48,67
2560,Castro County,Texas,"7,373","7,334","7,366","7,287","7,227",48,69
2561,Chambers County,Texas,"46,562","47,019","48,727","51,309","53,876",48,71
2562,Cherokee County,Texas,"50,413","50,493","51,150","51,432","52,217",48,73
2563,Childress County,Texas,"6,668","6,661","6,787","6,841","6,788",48,75
2564,Clay County,Texas,"10,220","10,257","10,311","10,499","10,738",48,77
2565,Cochran County,Texas,"2,547","2,561","2,480","2,522","2,509",48,79
2566,Coke County,Texas,"3,285","3,300","3,304","3,322","3,352",48,81
2567,Coleman County,Texas,"7,687","7,688","7,722","7,822","7,842",48,83
2568,Collin County,Texas,"1,066,467","1,075,736","1,114,661","1,158,995","1,195,359",48,85
2569,Collingsworth County,Texas,"2,651","2,640","2,607","2,585","2,563",48,87
2570,Colorado County,Texas,"20,558","20,563","20,642","20,832","21,117",48,89
2571,Comal County,Texas,"161,493","163,659","174,977","184,749","193,928",48,91
2572,Comanche County,Texas,"13,592","13,630","13,805","13,921","14,050",48,93
2573,Concho County,Texas,"3,302","3,318","3,348","3,367","3,297",48,95
2574,Cooke County,Texas,"41,670","41,748","42,398","43,048","43,782",48,97
2575,Coryell County,Texas,"83,085","83,130","84,389","84,205","84,878",48,99
2576,Cottle County,Texas,"1,379","1,365","1,355","1,317","1,294",48,101
2577,Crane County,Texas,"4,676","4,675","4,636","4,551","4,574",48,103
2578,Crockett County,Texas,"3,096","3,093","3,013","2,960","2,858",48,105
2579,Crosby County,Texas,"5,129","5,098","5,085","4,992","4,917",48,107
2580,Culberson County,Texas,"2,187","2,186","2,182","2,163","2,196",48,109
2581,Dallam County,Texas,"7,123","7,127","7,175","7,235","7,237",48,111
2582,Dallas County,Texas,"2,611,481","2,610,112","2,588,235","2,601,993","2,606,358",48,113
2583,Dawson County,Texas,"12,459","12,474","12,367","12,176","12,004",48,115
2584,Deaf Smith County,Texas,"18,584","18,526","18,379","18,399","18,347",48,117
2585,Delta County,Texas,"5,231","5,228","5,344","5,413","5,520",48,119
2586,Denton County,Texas,"906,419","914,398","943,883","977,760","1,007,703",48,121
2587,DeWitt County,Texas,"19,819","19,833","19,949","19,754","19,929",48,123
2588,Dickens County,Texas,"1,769","1,758","1,734","1,736","1,711",48,125
2589,Dimmit County,Texas,"8,613","8,579","8,479","8,360","8,257",48,127
2590,Donley County,Texas,"3,261","3,279","3,361","3,289","3,214",48,129
2591,Duval County,Texas,"9,829","9,810","9,998","9,706","9,604",48,131
2592,Eastland County,Texas,"17,723","17,766","17,826","17,893","18,037",48,133
2593,Ector County,Texas,"165,170","165,490","160,758","161,057","164,494",48,135
2594,Edwards County,Texas,"1,423","1,420","1,429","1,428","1,393",48,137
2595,Ellis County,Texas,"192,445","194,317","203,187","212,323","222,829",48,139
2596,El Paso County,Texas,"865,661","866,606","867,499","867,239","869,880",48,141
2597,Erath County,Texas,"42,543","42,719","43,381","43,837","44,195",48,143
2598,Falls County,Texas,"16,968","16,960","17,113","16,956","17,286",48,145
2599,Fannin County,Texas,"35,661","35,801","36,723","37,075","37,571",48,147
2600,Fayette County,Texas,"24,433","24,471","24,690","24,934","25,474",48,149
2601,Fisher County,Texas,"3,673","3,678","3,675","3,626","3,612",48,151
2602,Floyd County,Texas,"5,397","5,370","5,292","5,239","5,090",48,153
2603,Foard County,Texas,"1,095","1,088","1,056","1,063","1,079",48,155
2604,Fort Bend County,Texas,"822,797","829,109","860,305","888,919","916,778",48,157
2605,Franklin County,Texas,"10,355","10,369","10,497","10,665","10,735",48,159
2606,Freestone County,Texas,"19,439","19,440","19,788","20,032","20,441",48,161
2607,Frio County,Texas,"18,386","18,412","17,543","17,716","17,987",48,163
2608,Gaines County,Texas,"21,597","21,699","21,878","22,140","22,523",48,165
2609,Galveston County,Texas,"350,684","351,590","355,560","357,387","361,744",48,167
2610,Garza County,Texas,"5,817","5,817","6,269","4,498","4,517",48,169
2611,Gillespie County,Texas,"26,726","26,748","27,293","27,501","27,733",48,171
2612,Glasscock County,Texas,"1,113","1,115","1,136","1,139","1,141",48,173
2613,Goliad County,Texas,"7,016","7,020","7,133","7,120","7,144",48,175
2614,Gonzales County,Texas,"19,658","19,681","19,636","19,816","19,930",48,177
2615,Gray County,Texas,"21,229","21,199","21,128","20,980","20,916",48,179
2616,Grayson County,Texas,"135,543","136,099","139,563","143,198","146,907",48,181
2617,Gregg County,Texas,"124,238","124,251","124,130","125,559","126,243",48,183
2618,Grimes County,Texas,"29,299","29,440","30,145","31,170","32,384",48,185
2619,Guadalupe County,Texas,"172,711","173,697","177,301","182,702","188,454",48,187
2620,Hale County,Texas,"32,526","32,465","32,208","31,966","31,761",48,189
2621,Hall County,Texas,"2,815","2,795","2,842","2,818","2,818",48,191
2622,Hamilton County,Texas,"8,221","8,248","8,230","8,313","8,619",48,193
2623,Hansford County,Texas,"5,273","5,252","5,120","5,111","5,071",48,195
2624,Hardeman County,Texas,"3,548","3,558","3,546","3,525","3,490",48,197
2625,Hardin County,Texas,"56,235","56,350","57,133","57,840","58,261",48,199
2626,Harris County,Texas,"4,731,122","4,734,792","4,735,517","4,781,337","4,835,125",48,201
2627,Harrison County,Texas,"68,832","68,801","69,527","70,038","70,895",48,203
2628,Hartley County,Texas,"5,375","5,349","5,393","5,228","5,145",48,205
2629,Haskell County,Texas,"5,413","5,433","5,375","5,376","5,385",48,207
2630,Hays County,Texas,"241,057","243,968","255,955","269,103","280,486",48,209
2631,Hemphill County,Texas,"3,384","3,365","3,324","3,225","3,189",48,211
2632,Henderson County,Texas,"82,147","82,403","83,653","84,490","86,158",48,213
2633,Hidalgo County,Texas,"870,787","872,856","879,865","888,286","898,471",48,215
2634,Hill County,Texas,"35,870","35,964","36,378","37,266","38,101",48,217
2635,Hockley County,Texas,"21,542","21,504","21,265","21,278","21,460",48,219
2636,Hood County,Texas,"61,598","62,057","64,293","66,394","67,774",48,221
2637,Hopkins County,Texas,"36,791","36,827","37,210","37,793","38,172",48,223
2638,Houston County,Texas,"22,072","22,062","21,962","21,943","22,066",48,225
2639,Howard County,Texas,"34,866","34,816","34,365","30,732","30,554",48,227
2640,Hudspeth County,Texas,"3,201","3,196","3,275","3,416","3,451",48,229
2641,Hunt County,Texas,"99,953","100,254","103,591","108,438","113,347",48,231
2642,Hutchinson County,Texas,"20,613","20,569","20,438","20,222","20,033",48,233
2643,Irion County,Texas,"1,512","1,510","1,534","1,534","1,549",48,235
2644,Jack County,Texas,"8,473","8,487","8,550","8,764","8,875",48,237
2645,Jackson County,Texas,"14,990","14,997","15,118","15,183","15,221",48,239
2646,Jasper County,Texas,"32,978","32,919","32,552","32,495","32,694",48,241
2647,Jeff Davis County,Texas,"1,998","1,984","1,959","1,906","1,856",48,243
2648,Jefferson County,Texas,"256,521","256,133","253,727","251,601","251,496",48,245
2649,Jim Hogg County,Texas,"4,835","4,846","4,790","4,774","4,720",48,247
2650,Jim Wells County,Texas,"38,893","38,879","38,893","38,729","38,662",48,249
2651,Johnson County,Texas,"180,008","180,964","187,511","195,496","202,906",48,251
2652,Jones County,Texas,"19,654","19,682","19,811","20,271","20,381",48,253
2653,Karnes County,Texas,"14,707","14,760","14,732","14,945","15,018",48,255
2654,Kaufman County,Texas,"145,307","147,140","158,313","172,611","185,690",48,257
2655,Kendall County,Texas,"44,272","44,539","46,861","49,019","50,537",48,259
2656,Kenedy County,Texas,349,348,339,354,343,48,261
2657,Kent County,Texas,755,763,748,744,734,48,263
2658,Kerr County,Texas,"52,591","52,693","53,175","53,784","53,915",48,265
2659,Kimble County,Texas,"4,282","4,293","4,348","4,420","4,442",48,267
2660,King County,Texas,263,267,256,234,217,48,269
2661,Kinney County,Texas,"3,132","3,126","3,122","3,131","3,148",48,271
2662,Kleberg County,Texas,"31,042","30,986","30,625","30,376","30,069",48,273
2663,Knox County,Texas,"3,354","3,347","3,318","3,284","3,302",48,275
2664,Lamar County,Texas,"50,081","50,131","50,349","50,515","51,127",48,277
2665,Lamb County,Texas,"13,049","13,011","12,909","12,786","12,711",48,279
2666,Lampasas County,Texas,"21,629","21,705","22,224","22,790","23,262",48,281
2667,La Salle County,Texas,"6,666","6,663","6,708","6,556","6,537",48,283
2668,Lavaca County,Texas,"20,342","20,354","20,538","20,653","20,571",48,285
2669,Lee County,Texas,"17,483","17,506","17,679","17,971","18,240",48,287
2670,Leon County,Texas,"15,717","15,732","16,009","16,220","16,538",48,289
2671,Liberty County,Texas,"91,631","92,479","97,488","102,462","108,272",48,291
2672,Limestone County,Texas,"22,149","22,144","22,060","22,164","22,250",48,293
2673,Lipscomb County,Texas,"3,054","3,031","2,895","2,846","2,906",48,295
2674,Live Oak County,Texas,"11,333","11,349","11,386","11,541","11,584",48,297
2675,Llano County,Texas,"21,248","21,290","22,056","22,623","22,875",48,299
2676,Loving County,Texas,63,65,54,44,43,48,301
2677,Lubbock County,Texas,"310,633","311,578","314,642","317,761","320,940",48,303
2678,Lynn County,Texas,"5,593","5,609","5,645","5,738","5,761",48,305
2679,McCulloch County,Texas,"7,631","7,588","7,522","7,468","7,452",48,307
2680,McLennan County,Texas,"260,588","261,193","263,721","266,162","268,583",48,309
2681,McMullen County,Texas,599,597,592,569,568,48,311
2682,Madison County,Texas,"13,462","13,461","13,512","13,641","13,742",48,313
2683,Marion County,Texas,"9,727","9,752","9,620","9,550","9,571",48,315
2684,Martin County,Texas,"5,238","5,252","5,214","5,228","5,216",48,317
2685,Mason County,Texas,"3,951","3,968","3,929","3,978","3,931",48,319
2686,Matagorda County,Texas,"36,254","36,287","36,339","36,122","36,359",48,321
2687,Maverick County,Texas,"57,884","57,875","57,683","57,628","57,762",48,323
2688,Medina County,Texas,"50,746","50,952","52,328","53,657","54,797",48,325
2689,Menard County,Texas,"1,963","1,960","1,968","1,979","1,958",48,327
2690,Midland County,Texas,"169,986","170,362","168,257","172,019","177,108",48,329
2691,Milam County,Texas,"24,747","24,774","25,212","25,622","25,951",48,331
2692,Mills County,Texas,"4,453","4,446","4,489","4,498","4,548",48,333
2693,Mitchell County,Texas,"8,990","9,009","9,042","8,938","9,075",48,335
2694,Montague County,Texas,"19,967","19,999","20,437","21,079","21,598",48,337
2695,Montgomery County,Texas,"620,460","625,291","650,755","679,554","711,354",48,339
2696,Moore County,Texas,"21,358","21,264","21,136","21,094","21,190",48,341
2697,Morris County,Texas,"11,974","11,976","12,007","12,052","12,066",48,343
2698,Motley County,Texas,"1,061","1,061","1,071","1,034","1,020",48,345
2699,Nacogdoches County,Texas,"64,646","64,616","64,778","64,994","65,375",48,347
2700,Navarro County,Texas,"52,623","52,838","53,637","54,687","55,635",48,349
2701,Newton County,Texas,"12,217","12,158","12,212","12,041","12,039",48,351
2702,Nolan County,Texas,"14,734","14,721","14,605","14,460","14,306",48,353
2703,Nueces County,Texas,"353,175","353,398","353,292","351,590","352,289",48,355
2704,Ochiltree County,Texas,"10,015","9,955","9,768","9,692","9,704",48,357
2705,Oldham County,Texas,"1,758","1,763","1,734","1,761","1,783",48,359
2706,Orange County,Texas,"84,810","84,754","84,666","85,048","85,722",48,361
2707,Palo Pinto County,Texas,"28,413","28,452","28,742","29,322","29,747",48,363
2708,Panola County,Texas,"22,496","22,499","22,556","22,742","22,838",48,365
2709,Parker County,Texas,"148,220","149,552","157,088","165,938","173,494",48,367
2710,Parmer County,Texas,"9,870","9,854","9,784","9,649","9,617",48,369
2711,Pecos County,Texas,"15,198","15,187","15,117","14,711","14,623",48,371
2712,Polk County,Texas,"50,125","50,503","51,877","53,256","54,186",48,373
2713,Potter County,Texas,"118,522","118,275","116,461","114,911","114,647",48,375
2714,Presidio County,Texas,"6,133","6,108","6,113","5,954","5,795",48,377
2715,Rains County,Texas,"12,151","12,175","12,463","12,836","12,986",48,379
2716,Randall County,Texas,"140,755","141,347","144,055","146,244","148,255",48,381
2717,Reagan County,Texas,"3,385","3,380","3,222","3,121","3,141",48,383
2718,Real County,Texas,"2,759","2,751","2,817","2,832","2,854",48,385
2719,Red River County,Texas,"11,589","11,561","11,561","11,605","11,678",48,387
2720,Reeves County,Texas,"14,743","14,768","12,981","11,692","11,770",48,389
2721,Refugio County,Texas,"6,744","6,748","6,704","6,638","6,666",48,391
2722,Roberts County,Texas,828,822,801,812,840,48,393
2723,Robertson County,Texas,"16,753","16,766","16,946","17,130","17,267",48,395
2724,Rockwall County,Texas,"107,844","109,158","116,612","123,342","131,307",48,397
2725,Runnels County,Texas,"9,898","9,919","9,892","9,884","9,868",48,399
2726,Rusk County,Texas,"52,215","52,252","52,695","52,524","53,079",48,401
2727,Sabine County,Texas,"9,896","9,892","10,013","10,041","10,106",48,403
2728,San Augustine County,Texas,"7,919","7,921","7,905","7,860","7,833",48,405
2729,San Jacinto County,Texas,"27,397","27,533","27,811","28,340","28,936",48,407
2730,San Patricio County,Texas,"68,754","68,841","69,767","70,087","70,660",48,409
2731,San Saba County,Texas,"5,724","5,727","5,829","5,880","5,845",48,411
2732,Schleicher County,Texas,"2,448","2,439","2,438","2,359","2,391",48,413
2733,Scurry County,Texas,"16,933","16,942","16,837","16,269","16,212",48,415
2734,Shackelford County,Texas,"3,107","3,110","3,191","3,212","3,229",48,417
2735,Shelby County,Texas,"24,018","23,924","23,984","24,061","24,179",48,419
2736,Sherman County,Texas,"2,781","2,789","2,789","2,778","2,678",48,421
2737,Smith County,Texas,"233,484","234,199","237,182","241,995","245,209",48,423
2738,Somervell County,Texas,"9,205","9,205","9,477","9,797","9,888",48,425
2739,Starr County,Texas,"65,921","65,867","65,858","65,653","65,934",48,427
2740,Stephens County,Texas,"9,098","9,093","9,433","9,377","9,343",48,429
2741,Sterling County,Texas,"1,370","1,382","1,380","1,426","1,397",48,431
2742,Stonewall County,Texas,"1,244","1,243","1,211","1,218","1,218",48,433
2743,Sutton County,Texas,"3,373","3,356","3,291","3,232","3,221",48,435
2744,Swisher County,Texas,"6,972","6,946","7,007","6,959","6,955",48,437
2745,Tarrant County,Texas,"2,110,623","2,115,840","2,129,695","2,155,646","2,182,947",48,439
2746,Taylor County,Texas,"143,203","143,454","143,922","145,147","146,836",48,441
2747,Terrell County,Texas,760,750,721,688,687,48,443
2748,Terry County,Texas,"11,831","11,793","11,714","11,444","11,547",48,445
2749,Throckmorton County,Texas,"1,441","1,451","1,503","1,539","1,526",48,447
2750,Titus County,Texas,"31,241","31,291","31,260","31,237","31,357",48,449
2751,Tom Green County,Texas,"120,007","120,195","119,231","118,913","119,057",48,451
2752,Travis County,Texas,"1,290,218","1,296,613","1,308,868","1,327,550","1,334,961",48,453
2753,Trinity County,Texas,"13,602","13,634","13,832","13,993","14,228",48,455
2754,Tyler County,Texas,"19,798","19,810","19,898","20,411","20,382",48,457
2755,Upshur County,Texas,"40,894","41,046","41,835","42,454","43,281",48,459
2756,Upton County,Texas,"3,306","3,299","3,233","3,146","3,109",48,461
2757,Uvalde County,Texas,"24,575","24,571","24,803","24,890","24,960",48,463
2758,Val Verde County,Texas,"47,585","47,605","47,533","47,617","47,720",48,465
2759,Van Zandt County,Texas,"59,543","59,758","61,253","62,888","64,000",48,467
2760,Victoria County,Texas,"91,322","91,311","90,896","91,074","91,664",48,469
2761,Walker County,Texas,"76,406","76,553","78,348","79,678","81,268",48,471
2762,Waller County,Texas,"56,751","57,285","59,419","61,852","63,553",48,473
2763,Ward County,Texas,"11,640","11,674","11,081","10,948","10,966",48,475
2764,Washington County,Texas,"35,802","35,804","35,947","36,368","37,007",48,477
2765,Webb County,Texas,"267,113","267,363","267,400","267,619","269,148",48,479
2766,Wharton County,Texas,"41,571","41,564","41,652","41,740","41,739",48,481
2767,Wheeler County,Texas,"4,988","4,977","4,886","4,787","4,804",48,483
2768,Wichita County,Texas,"129,361","129,620","130,073","130,220","130,180",48,485
2769,Wilbarger County,Texas,"12,888","12,842","12,703","12,535","12,522",48,487
2770,Willacy County,Texas,"20,164","20,148","20,292","20,254","20,037",48,489
2771,Williamson County,Texas,"609,006","615,552","644,595","672,273","697,191",48,491
2772,Wilson County,Texas,"49,753","50,052","51,307","52,754","54,183",48,493
2773,Winkler County,Texas,"7,791","7,754","7,382","7,300","7,414",48,495
2774,Wise County,Texas,"68,631","68,947","71,871","74,897","78,097",48,497
2775,Wood County,Texas,"44,849","45,037","46,076","46,930","47,921",48,499
2776,Yoakum County,Texas,"7,694","7,675","7,563","7,484","7,468",48,501
2777,Young County,Texas,"17,868","17,849","17,943","18,012","18,124",48,503
2778,Zapata County,Texas,"13,887","13,875","13,875","13,838","13,736",48,505
2779,Zavala County,Texas,"9,668","9,661","9,473","9,384","9,312",48,507
2780,Beaver County,Utah,"7,069","7,083","7,213","7,317","7,233",49,1
2781,Box Elder County,Utah,"57,664","57,946","59,685","61,523","62,684",49,3
2782,Cache County,Utah,"133,158","133,631","137,458","140,145","142,393",49,5
2783,Carbon County,Utah,"20,416","20,487","20,360","20,540","20,609",49,7
2784,Daggett County,Utah,936,952,982,"1,015",992,49,9
2785,Davis County,Utah,"362,695","363,771","367,504","369,887","373,207",49,11
2786,Duchesne County,Utah,"19,604","19,620","19,792","20,142","20,477",49,13
2787,Emery County,Utah,"9,826","9,847","9,965","10,093","10,144",49,15
2788,Garfield County,Utah,"5,086","5,103","5,126","5,258","5,314",49,17
2789,Grand County,Utah,"9,664","9,674","9,671","9,771","9,706",49,19
2790,Iron County,Utah,"57,286","57,713","60,520","62,508","64,211",49,21
2791,Juab County,Utah,"11,778","11,819","12,205","12,586","13,023",49,23
2792,Kane County,Utah,"7,666","7,693","7,985","8,203","8,425",49,25
2793,Millard County,Utah,"12,985","13,060","13,192","13,343","13,437",49,27
2794,Morgan County,Utah,"12,294","12,382","12,662","12,837","13,000",49,29
2795,Piute County,Utah,"1,444","1,440","1,492","1,493","1,550",49,31
2796,Rich County,Utah,"2,513","2,505","2,600","2,649","2,670",49,33
2797,Salt Lake County,Utah,"1,185,230","1,186,983","1,186,312","1,186,569","1,185,813",49,35
2798,San Juan County,Utah,"14,513","14,521","14,498","14,406","14,358",49,37
2799,Sanpete County,Utah,"28,437","28,526","29,124","29,691","30,277",49,39
2800,Sevier County,Utah,"21,508","21,554","21,894","22,043","22,344",49,41
2801,Summit County,Utah,"42,367","42,489","43,179","43,045","42,759",49,43
2802,Tooele County,Utah,"72,709","73,355","76,775","79,955","82,051",49,45
2803,Uintah County,Utah,"35,612","35,672","36,229","37,104","37,747",49,47
2804,Utah County,Utah,"659,394","663,595","685,973","702,692","719,174",49,49
2805,Wasatch County,Utah,"34,782","35,055","36,246","36,597","37,144",49,51
2806,Washington County,Utah,"180,275","182,015","191,513","197,730","202,452",49,53
2807,Wayne County,Utah,"2,485","2,503","2,560","2,634","2,614",49,55
2808,Weber County,Utah,"262,218","262,988","266,569","269,460","271,926",49,57
2809,Addison County,Vermont,"37,365","37,355","37,408","37,555","37,720",50,1
2810,Bennington County,Vermont,"37,342","37,301","37,431","37,343","37,183",50,3
2811,Caledonia County,Vermont,"30,232","30,182","30,457","30,587","30,610",50,5
2812,Chittenden County,Vermont,"168,321","168,395","169,338","169,357","169,481",50,7
2813,Essex County,Vermont,"5,920","5,920","5,970","5,997","6,010",50,9
2814,Franklin County,Vermont,"49,951","50,046","50,430","50,719","50,994",50,11
2815,Grand Isle County,Vermont,"7,291","7,276","7,428","7,490","7,467",50,13
2816,Lamoille County,Vermont,"25,945","25,924","26,149","26,103","26,060",50,15
2817,Orange County,Vermont,"29,283","29,295","29,630","29,880","29,943",50,17
2818,Orleans County,Vermont,"27,401","27,403","27,591","27,562","27,516",50,19
2819,Rutland County,Vermont,"60,574","60,484","60,728","60,353","60,271",50,21
2820,Washington County,Vermont,"59,800","59,757","60,033","60,115","60,142",50,23
2821,Windham County,Vermont,"45,915","45,860","46,150","45,899","45,966",50,25
2822,Windsor County,Vermont,"57,737","57,738","58,350","58,150","58,101",50,27
2823,Accomack County,Virginia,"33,418","33,392","33,410","33,223","33,239",51,1
2824,Albemarle County,Virginia,"112,395","112,510","113,882","114,845","115,676",51,3
2825,Alleghany County,Virginia,"15,211","15,180","14,988","14,715","14,595",51,5
2826,Amelia County,Virginia,"13,260","13,267","13,306","13,368","13,480",51,7
2827,Amherst County,Virginia,"31,310","31,312","31,385","31,472","31,396",51,9
2828,Appomattox County,Virginia,"16,116","16,154","16,398","16,703","16,864",51,11
2829,Arlington County,Virginia,"238,642","238,814","233,436","233,678","234,162",51,13
2830,Augusta County,Virginia,"77,485","77,574","77,764","77,939","78,247",51,15
2831,Bath County,Virginia,"4,204","4,185","4,090","4,061","4,051",51,17
2832,Bedford County,Virginia,"79,465","79,559","80,242","80,741","81,525",51,19
2833,Bland County,Virginia,"6,273","6,256","6,177","6,138","6,179",51,21
2834,Botetourt County,Virginia,"33,595","33,643","33,998","34,100","34,125",51,23
2835,Brunswick County,Virginia,"15,846","15,822","15,959","15,831","15,749",51,25
2836,Buchanan County,Virginia,"20,343","20,245","19,876","19,383","19,087",51,27
2837,Buckingham County,Virginia,"16,831","16,828","16,950","16,988","16,978",51,29
2838,Campbell County,Virginia,"55,699","55,639","55,344","55,065","55,270",51,31
2839,Caroline County,Virginia,"30,881","30,921","31,405","31,940","32,640",51,33
2840,Carroll County,Virginia,"29,158","29,148","29,098","29,118","29,239",51,35
2841,Charles City County,Virginia,"6,771","6,746","6,608","6,568","6,610",51,36
2842,Charlotte County,Virginia,"11,533","11,542","11,499","11,400","11,336",51,37
2843,Chesterfield County,Virginia,"364,061","365,311","370,931","378,290","383,876",51,41
2844,Clarke County,Virginia,"14,787","14,814","14,940","15,331","15,466",51,43
2845,Craig County,Virginia,"4,892","4,875","4,886","4,858","4,843",51,45
2846,Culpeper County,Virginia,"52,550","52,768","53,772","54,290","54,973",51,47
2847,Cumberland County,Virginia,"9,676","9,666","9,703","9,751","9,878",51,49
2848,Dickenson County,Virginia,"14,128","14,074","13,860","13,733","13,640",51,51
2849,Dinwiddie County,Virginia,"27,941","27,891","27,997","28,099","28,343",51,53
2850,Essex County,Virginia,"10,600","10,598","10,571","10,630","10,598",51,57
2851,Fairfax County,Virginia,"1,150,294","1,148,627","1,142,203","1,139,309","1,141,878",51,59
2852,Fauquier County,Virginia,"72,964","73,006","74,055","74,677","75,165",51,61
2853,Floyd County,Virginia,"15,475","15,470","15,510","15,623","15,679",51,63
2854,Fluvanna County,Virginia,"27,252","27,294","27,797","28,117","28,462",51,65
2855,Franklin County,Virginia,"54,467","54,482","55,017","55,079","55,549",51,67
2856,Frederick County,Virginia,"91,418","91,870","93,959","94,808","95,994",51,69
2857,Giles County,Virginia,"16,792","16,786","16,572","16,432","16,457",51,71
2858,Gloucester County,Virginia,"38,715","38,722","39,174","39,550","40,057",51,73
2859,Goochland County,Virginia,"24,730","24,855","25,529","26,162","27,197",51,75
2860,Grayson County,Virginia,"15,336","15,281","15,344","15,325","15,285",51,77
2861,Greene County,Virginia,"20,554","20,607","21,004","21,015","21,301",51,79
2862,Greensville County,Virginia,"11,391","11,386","11,413","11,204","11,133",51,81
2863,Halifax County,Virginia,"34,024","33,926","33,777","33,620","33,432",51,83
2864,Hanover County,Virginia,"109,977","110,202","111,783","112,860","114,148",51,85
2865,Henrico County,Virginia,"334,931","334,905","334,422","334,553","334,760",51,87
2866,Henry County,Virginia,"50,949","50,851","50,262","49,795","49,702",51,89
2867,Highland County,Virginia,"2,232","2,240","2,239","2,296","2,339",51,91
2868,Isle of Wight County,Virginia,"38,611","38,707","39,391","40,135","40,711",51,93
2869,James City County,Virginia,"78,253","78,487","79,991","81,483","82,654",51,95
2870,King and Queen County,Virginia,"6,606","6,588","6,669","6,714","6,720",51,97
2871,King George County,Virginia,"26,724","26,826","27,541","27,918","28,568",51,99
2872,King William County,Virginia,"17,811","17,918","18,243","18,529","19,030",51,101
2873,Lancaster County,Virginia,"10,923","10,903","10,935","10,806","10,859",51,103
2874,Lee County,Virginia,"22,172","22,108","22,005","21,847","21,745",51,105
2875,Loudoun County,Virginia,"420,957","422,705","428,764","432,792","436,347",51,107
2876,Louisa County,Virginia,"37,597","37,796","39,016","40,030","41,037",51,109
2877,Lunenburg County,Virginia,"11,936","11,947","12,001","12,002","12,038",51,111
2878,Madison County,Virginia,"13,841","13,861","13,957","14,008","14,128",51,113
2879,Mathews County,Virginia,"8,533","8,518","8,543","8,450","8,514",51,115
2880,Mecklenburg County,Virginia,"30,315","30,283","30,333","30,527","30,648",51,117
2881,Middlesex County,Virginia,"10,625","10,614","10,779","10,952","10,924",51,119
2882,Montgomery County,Virginia,"99,719","99,574","98,788","98,826","98,666",51,121
2883,Nelson County,Virginia,"14,772","14,740","14,838","14,747","14,705",51,125
2884,New Kent County,Virginia,"22,944","23,123","23,963","24,952","26,134",51,127
2885,Northampton County,Virginia,"12,281","12,213","12,068","11,978","12,021",51,131
2886,Northumberland County,Virginia,"11,839","11,841","12,052","12,278","12,391",51,133
2887,Nottoway County,Virginia,"15,649","15,647","15,574","15,555","15,566",51,135
2888,Orange County,Virginia,"36,186","36,397","37,220","38,055","38,574",51,137
2889,Page County,Virginia,"23,709","23,691","23,825","23,777","23,741",51,139
2890,Patrick County,Virginia,"17,610","17,591","17,650","17,601","17,509",51,141
2891,Pittsylvania County,Virginia,"60,498","60,367","60,038","59,824","59,571",51,143
2892,Powhatan County,Virginia,"30,343","30,450","31,230","31,585","32,105",51,145
2893,Prince Edward County,Virginia,"21,849","21,906","21,962","21,899","22,049",51,147
2894,Prince George County,Virginia,"43,010","43,073","42,962","43,021","42,871",51,149
2895,Prince William County,Virginia,"482,200","482,834","485,352","487,012","489,640",51,153
2896,Pulaski County,Virginia,"33,799","33,807","33,816","33,683","33,655",51,155
2897,Rappahannock County,Virginia,"7,349","7,320","7,431","7,453","7,414",51,157
2898,Richmond County,Virginia,"8,919","8,919","9,077","9,126","9,184",51,159
2899,Roanoke County,Virginia,"96,931","96,923","96,671","96,756","97,026",51,161
2900,Rockbridge County,Virginia,"22,652","22,650","22,638","22,568","22,358",51,163
2901,Rockingham County,Virginia,"83,763","83,774","84,518","85,414","86,568",51,165
2902,Russell County,Virginia,"25,784","25,757","25,572","25,437","25,477",51,167
2903,Scott County,Virginia,"21,569","21,589","21,476","21,480","21,433",51,169
2904,Shenandoah County,Virginia,"44,190","44,265","44,842","44,936","45,228",51,171
2905,Smyth County,Virginia,"29,801","29,787","29,608","29,408","29,216",51,173
2906,Southampton County,Virginia,"18,000","17,953","18,024","17,899","17,975",51,175
2907,Spotsylvania County,Virginia,"140,092","140,604","144,003","146,828","149,588",51,177
2908,Stafford County,Virginia,"156,939","157,765","161,568","163,169","165,428",51,179
2909,Surry County,Virginia,"6,558","6,551","6,533","6,527","6,593",51,181
2910,Sussex County,Virginia,"10,827","10,787","10,815","10,640","10,757",51,183
2911,Tazewell County,Virginia,"40,437","40,407","39,950","39,563","39,120",51,185
2912,Warren County,Virginia,"40,721","40,792","40,965","41,404","41,843",51,187
2913,Washington County,Virginia,"53,936","53,895","53,735","53,855","54,050",51,191
2914,Westmoreland County,Virginia,"18,479","18,511","18,772","18,765","19,013",51,193
2915,Wise County,Virginia,"36,118","36,064","35,681","35,327","35,174",51,195
2916,Wythe County,Virginia,"28,291","28,324","28,201","28,115","28,104",51,197
2917,York County,Virginia,"70,052","70,232","71,104","71,164","70,952",51,199
